Sol Mercurio Venus Tierra Marte Jupiter Saturno Urano Neptuno Pluton
-0.001932 0.070204 0.677537 -0.559751 -0.657372 -1.116282 2.695189 16.712652 29.087841 12.322319 
-0.002009 0.248877 0.718379 -0.425881 -0.767392 -1.049664 2.741419 16.692991 29.094378 12.349740 
-0.002085 0.384606 0.712648 -0.282303 -0.873094 -0.982873 2.787581 16.673279 29.100885 12.377153 
-0.002162 0.447992 0.660561 -0.132332 -0.973949 -0.915919 2.833674 16.653513 29.107367 12.404558 
-0.002239 0.405944 0.565472 0.020601 -1.069457 -0.848813 2.879699 16.633696 29.113821 12.431955 
-0.002316 0.227101 0.433636 0.173015 -1.159154 -0.781566 2.925653 16.613825 29.120249 12.459345 
-0.002393 -0.068593 0.273724 0.321439 -1.242607 -0.714189 2.971535 16.593901 29.126650 12.486726 
-0.002470 -0.322799 0.096159 0.462479 -1.319417 -0.646692 3.017344 16.573925 29.133024 12.514099 
-0.002547 -0.416460 -0.087654 0.592880 -1.389212 -0.579088 3.063080 16.553896 29.139372 12.541465 
-0.002624 -0.373790 -0.266130 0.709587 -1.451656 -0.511388 3.108741 16.533815 29.145693 12.568822 
-0.002701 -0.245239 -0.428262 0.809814 -1.506439 -0.443601 3.154325 16.513683 29.151987 12.596171 
-0.002778 -0.071600 -0.564271 0.891100 -1.553284 -0.375741 3.199832 16.493498 29.158255 12.623512 
-0.002855 0.113811 -0.666146 0.951373 -1.591944 -0.307817 3.245260 16.473261 29.164495 12.650846 
-0.002933 0.278283 -0.728026 0.989009 -1.622201 -0.239842 3.290609 16.452971 29.170710 12.678170 
-0.003010 0.382197 -0.746455 1.002880 -1.643869 -0.171826 3.335877 16.432629 29.176897 12.705487 
-0.003087 0.371962 -0.720506 0.992406 -1.656793 -0.103782 3.381064 16.412235 29.183056 12.732797 
-0.003165 0.192968 -0.651790 0.957590 -1.660852 -0.035721 3.426167 16.391790 29.189188 12.760098 
-0.003242 -0.106581 -0.544361 0.899040 -1.655956 0.032346 3.471186 16.371292 29.195293 12.787391 
-0.003319 -0.348462 -0.404512 0.817981 -1.642052 0.100408 3.516120 16.350742 29.201372 12.814675 
-0.003396 -0.461070 -0.240479 0.716245 -1.619120 0.168451 3.560968 16.330141 29.207424 12.841952 
-0.003474 -0.457346 -0.062038 0.596240 -1.587183 0.236466 3.605728 16.309488 29.213449 12.869221 
