Sol Mercurio Venus Tierra Marte Jupiter Saturno Urano Neptuno Pluton
0.007610 -0.502002 -0.246729 -0.850341 1.496776 -5.178972 -9.675577 10.704740 -7.040726 -31.465984 
0.007613 -0.448833 -0.065780 -0.925776 1.452196 -5.189779 -9.661940 10.733291 -7.012695 -31.461515 
0.007616 -0.317536 0.119912 -0.979834 1.399469 -5.199726 -9.648067 10.761808 -6.984659 -31.457027 
0.007617 -0.125411 0.298321 -1.011364 1.338994 -5.208810 -9.633959 10.790292 -6.956615 -31.452518 
0.007618 0.097871 0.457866 -1.019702 1.271193 -5.217027 -9.619616 10.818741 -6.928566 -31.447990 
0.007618 0.290906 0.588267 -1.004679 1.196512 -5.224375 -9.605038 10.847156 -6.900510 -31.443441 
0.007617 0.339651 0.681272 -0.966624 1.115414 -5.230852 -9.590226 10.875536 -6.872447 -31.438873 
0.007615 0.180308 0.731208 -0.906356 1.028380 -5.236453 -9.575180 10.903882 -6.844379 -31.434284 
0.007612 -0.065587 0.735305 -0.825174 0.935909 -5.241178 -9.559900 10.932194 -6.816304 -31.429676 
0.007609 -0.287373 0.693774 -0.724842 0.838516 -5.245023 -9.544388 10.960471 -6.788223 -31.425047 
0.007604 -0.440908 0.609679 -0.607563 0.736730 -5.247986 -9.528642 10.988714 -6.760135 -31.420399 
0.007599 -0.511064 0.488627 -0.475945 0.631095 -5.250066 -9.512663 11.016922 -6.732041 -31.415730 
0.007593 -0.492503 0.338331 -0.332961 0.522167 -5.251260 -9.496452 11.045094 -6.703941 -31.411041 
0.007586 -0.384184 0.168092 -0.181899 0.410518 -5.251566 -9.480009 11.073233 -6.675835 -31.406332 
0.007578 -0.191502 -0.011767 -0.026298 0.296730 -5.250984 -9.463334 11.101336 -6.647723 -31.401604 
0.007569 0.060173 -0.190471 0.130122 0.181401 -5.249510 -9.446428 11.129403 -6.619605 -31.396854 
0.007559 0.288177 -0.357372 0.283544 0.065140 -5.247145 -9.429292 11.157435 -6.591480 -31.392086 
0.007548 0.343695 -0.502492 0.430147 -0.051433 -5.243886 -9.411924 11.185432 -6.563350 -31.387297 
0.007536 0.211628 -0.617056 0.566208 -0.167686 -5.239733 -9.394326 11.213394 -6.535213 -31.382488 
0.007524 0.003117 -0.693970 0.688202 -0.282974 -5.234684 -9.376498 11.241321 -6.507071 -31.377659 
0.007510 -0.204274 -0.728255 0.792916 -0.396645 -5.228739 -9.358440 11.269211 -6.478922 -31.372810 
0.007495 -0.370222 -0.717398 0.877546 -0.508033 -5.221898 -9.340154 11.297066 -6.450768 -31.367943 
0.007480 -0.470897 -0.661597 0.939799 -0.616468 -5.214159 -9.321638 11.324884 -6.422607 -31.363054 
0.007463 -0.488261 -0.563864 0.977966 -0.721271 -5.205522 -9.302895 11.352668 -6.394441 -31.358147 
0.007446 -0.406291 -0.429953 0.990991 -0.821759 -5.195987 -9.283923 11.380415 -6.366268 -31.353218 
0.007427 -0.214865 -0.268091 0.978510 -0.917246 -5.185554 -9.264724 11.408126 -6.338090 -31.348270 
0.007408 0.064170 -0.088491 0.940861 -1.007049 -5.174223 -9.245297 11.435801 -6.309906 -31.343304 
0.007387 0.310431 0.097314 0.879076 -1.090485 -5.161994 -9.225644 11.463439 -6.281716 -31.338316 
0.007366 0.373986 0.277284 0.794843 -1.166884 -5.148869 -9.205764 11.491041 -6.253521 -31.333309 
0.007345 0.280732 0.439746 0.690440 -1.235588 -5.134846 -9.185658 11.518607 -6.225319 -31.328281 
0.007322 0.110041 0.574247 0.568661 -1.295959 -5.119928 -9.165327 11.546137 -6.197112 -31.323235 
0.007299 -0.082129 0.672296 0.432717 -1.347384 -5.104114 -9.144771 11.573629 -6.168899 -31.318169 
0.007274 -0.258460 0.727922 0.286134 -1.389287 -5.087406 -9.123989 11.601086 -6.140681 -31.313082 
0.007249 -0.389225 0.738007 0.132644 -1.421134 -5.069806 -9.102983 11.628505 -6.112457 -31.307976 
0.007224 -0.444928 0.702395 -0.023921 -1.442443 -5.051313 -9.081754 11.655887 -6.084227 -31.302851 
0.007197 -0.392319 0.623775 -0.179731 -1.452796 -5.031931 -9.060301 11.683231 -6.055992 -31.297705 
0.007170 -0.201538 0.507401 -0.331052 -1.451847 -5.011661 -9.038625 11.710539 -6.027750 -31.292540 
0.007141 0.098565 0.360683 -0.474331 -1.439337 -4.990504 -9.016726 11.737809 -5.999504 -31.287355 
0.007112 0.341498 0.192682 -0.606266 -1.415101 -4.968463 -8.994606 11.765042 -5.971252 -31.282150 
0.007082 0.421777 0.013573 -0.723875 -1.379082 -4.945540 -8.972264 11.792238 -5.942995 -31.276926 
0.007051 0.369620 -0.165924 -0.824542 -1.331338 -4.921738 -8.949701 11.819397 -5.914732 -31.271683 
0.007019 0.235348 -0.335109 -0.906058 -1.272053 -4.897058 -8.926918 11.846518 -5.886463 -31.266420 
0.006986 0.059085 -0.483861 -0.966658 -1.201541 -4.871503 -8.903914 11.873601 -5.858189 -31.261137 
0.006952 -0.126085 -0.603165 -1.005042 -1.120251 -4.845077 -8.880691 11.900646 -5.829910 -31.255835 
0.006916 -0.287153 -0.685622 -1.020391 -1.028769 -4.817781 -8.857248 11.927653 -5.801625 -31.250513 
0.006880 -0.383629 -0.725898 -1.012382 -0.927811 -4.789621 -8.833587 11.954623 -5.773335 -31.245173 
0.006843 -0.360886 -0.721098 -0.981183 -0.818223 -4.760598 -8.809708 11.981555 -5.745039 -31.239811 
0.006805 -0.167314 -0.671043 -0.927460 -0.700965 -4.730717 -8.785610 12.008449 -5.716739 -31.234430 
0.006765 0.134237 -0.578394 -0.852364 -0.577098 -4.699982 -8.761296 12.035304 -5.688433 -31.229031 
0.006725 0.366363 -0.448604 -0.757518 -0.447773 -4.668396 -8.736765 12.062120 -5.660121 -31.223612 
0.006683 0.468078 -0.289659 -0.644994 -0.314203 -4.635962 -8.712018 12.088899 -5.631805 -31.218172 
0.006641 0.455352 -0.111608 -0.517286 -0.177647 -4.602687 -8.687056 12.115639 -5.603483 -31.212713 
0.006598 0.356033 0.074101 -0.377269 -0.039389 -4.568573 -8.661878 12.142340 -5.575157 -31.207235 
0.006553 0.196554 0.255428 -0.228150 0.099290 -4.533627 -8.636485 12.169003 -5.546825 -31.201738 
0.006508 0.003778 0.420622 -0.073412 0.237127 -4.497851 -8.610879 12.195626 -5.518488 -31.196222 
0.006463 -0.188442 0.559075 0.083258 0.372901 -4.461253 -8.585059 12.222211 -5.490146 -31.190685 
0.006416 -0.327697 0.662064 0.238051 0.505447 -4.423835 -8.559027 12.248756 -5.461799 -31.185129 
0.006369 -0.330869 0.723327 0.387123 0.633674 -4.385605 -8.532782 12.275263 -5.433446 -31.179554 
0.006321 -0.135575 0.739403 0.526700 0.756574 -4.346567 -8.506325 12.301730 -5.405089 -31.173960 
0.006272 0.143937 0.709764 0.653181 0.873233 -4.306727 -8.479657 12.328158 -5.376727 -31.168346 
0.006223 0.366472 0.636719 0.763245 0.982834 -4.266092 -8.452779 12.354548 -5.348360 -31.162714 
0.006173 0.489790 0.525163 0.853958 1.084661 -4.224666 -8.425690 12.380897 -5.319988 -31.157063 
0.006122 0.513765 0.382190 0.922871 1.178103 -4.182457 -8.398392 12.407207 -5.291611 -31.151390 
0.006071 0.448484 0.216613 0.968105 1.262645 -4.139470 -8.370885 12.433476 -5.263229 -31.145699 
0.006019 0.307151 0.038446 0.988420 1.337873 -4.095713 -8.343169 12.459707 -5.234842 -31.139988 
0.005967 0.108078 -0.141656 0.983258 1.403466 -4.051191 -8.315246 12.485898 -5.206451 -31.134258 
0.005913 -0.116030 -0.312954 0.952766 1.459188 -4.005913 -8.287115 12.512049 -5.178055 -31.128510 
0.005859 -0.296605 -0.465187 0.897789 1.504889 -3.959884 -8.258779 12.538159 -5.149654 -31.122742 
0.005804 -0.314487 -0.589114 0.819835 1.540492 -3.913113 -8.230236 12.564230 -5.121248 -31.116955 
0.005749 -0.133075 -0.677036 0.721027 1.565991 -3.865607 -8.201488 12.590261 -5.092838 -31.111149 
0.005692 0.113818 -0.723266 0.604017 1.581444 -3.817373 -8.172536 12.616251 -5.064423 -31.105324 
0.005635 0.327213 -0.724533 0.471902 1.586966 -3.768419 -8.143379 12.642201 -5.036003 -31.099480 
0.005577 0.469269 -0.680279 0.328122 1.582725 -3.718754 -8.114019 12.668111 -5.007578 -31.093616 
0.005518 0.526915 -0.592812 0.176350 1.568933 -3.668385 -8.084456 12.693980 -4.979149 -31.087732 
0.005458 0.495448 -0.467277 0.020386 1.545848 -3.617320 -8.054692 12.719809 -4.950715 -31.081829 
0.005398 0.374323 -0.311411 -0.135940 1.513764 -3.565569 -8.024726 12.745596 -4.922276 -31.075907 
0.005337 0.170492 -0.135092 -0.288871 1.473007 -3.513140 -7.994559 12.771343 -4.893834 -31.069965 
0.005275 -0.085302 0.050328 -0.434802 1.423936 -3.460041 -7.964192 12.797050 -4.865386 -31.064005 
0.005212 -0.297692 0.232824 -0.570361 1.366935 -3.406282 -7.933626 12.822715 -4.836934 -31.058025 
0.005149 -0.321076 0.400576 -0.692471 1.302416 -3.351872 -7.902861 12.848339 -4.808478 -31.052027 
0.005085 -0.171323 0.542829 -0.798405 1.230810 -3.296821 -7.871898 12.873922 -4.780017 -31.046009 
0.005020 0.040393 0.650641 -0.885831 1.152570 -3.241137 -7.840737 12.899464 -4.751552 -31.039972 
0.004955 0.243538 0.717463 -0.952845 1.068168 -3.184831 -7.809380 12.924964 -4.723082 -31.033916 
