Sol Mercurio Venus Tierra Marte Jupiter Saturno Urano Neptuno Pluton
-0.000058 0.033897 0.025711 -0.000096 -0.008510 0.068384 0.093711 -0.182432 -0.513676 -0.061578 
-0.000056 0.041805 0.033680 -0.000090 -0.004315 0.067087 0.091661 -0.182080 -0.514412 -0.069976 
-0.000054 0.024280 0.039573 -0.000083 -0.000088 0.065780 0.089608 -0.181727 -0.515148 -0.078373 
-0.000052 -0.007133 0.043051 -0.000076 0.004141 0.064461 0.087553 -0.181374 -0.515882 -0.086771 
-0.000050 -0.035806 0.043925 -0.000068 0.008337 0.063133 0.085496 -0.181021 -0.516617 -0.095168 
-0.000049 -0.055156 0.042160 -0.000059 0.012472 0.061794 0.083437 -0.180666 -0.517350 -0.103565 
-0.000047 -0.063559 0.037874 -0.000050 0.016517 0.060445 0.081376 -0.180312 -0.518084 -0.111963 
-0.000045 -0.060934 0.031327 -0.000041 0.020446 0.059086 0.079312 -0.179956 -0.518817 -0.120360 
-0.000043 -0.047761 0.022908 -0.000032 0.024235 0.057718 0.077247 -0.179600 -0.519549 -0.128757 
-0.000041 -0.025173 0.013116 -0.000024 0.027861 0.056340 0.075180 -0.179244 -0.520281 -0.137154 
-0.000039 0.003893 0.002533 -0.000016 0.031305 0.054953 0.073112 -0.178887 -0.521013 -0.145551 
-0.000037 0.031460 -0.008207 -0.000008 0.034548 0.053557 0.071041 -0.178529 -0.521744 -0.153948 
-0.000035 0.041225 -0.018447 -0.000001 0.037575 0.052153 0.068969 -0.178171 -0.522474 -0.162345 
-0.000033 0.025784 -0.027548 0.000005 0.040371 0.050739 0.066895 -0.177812 -0.523204 -0.170741 
-0.000031 -0.001067 -0.034929 0.000011 0.042924 0.049318 0.064819 -0.177453 -0.523934 -0.179138 
-0.000029 -0.027615 -0.040106 0.000015 0.045223 0.047888 0.062742 -0.177093 -0.524663 -0.187534 
-0.000027 -0.048287 -0.042727 0.000018 0.047259 0.046450 0.060664 -0.176733 -0.525391 -0.195930 
-0.000025 -0.060339 -0.042604 0.000021 0.049024 0.045005 0.058583 -0.176372 -0.526119 -0.204327 
-0.000023 -0.062067 -0.039727 0.000022 0.050513 0.043552 0.056502 -0.176010 -0.526847 -0.212723 
-0.000021 -0.052187 -0.034276 0.000022 0.051720 0.042092 0.054419 -0.175648 -0.527574 -0.221118 
-0.000019 -0.030090 -0.026602 0.000022 0.052643 0.040625 0.052335 -0.175285 -0.528301 -0.229514 
-0.000017 0.002085 -0.017207 0.000020 0.053279 0.039151 0.050249 -0.174922 -0.529027 -0.237910 
-0.000015 0.033190 -0.006706 0.000018 0.053628 0.037671 0.048162 -0.174559 -0.529752 -0.246305 
-0.000013 0.043485 0.004224 0.000014 0.053689 0.036184 0.046074 -0.174194 -0.530477 -0.254701 
-0.000011 0.031979 0.014885 0.000011 0.053464 0.034691 0.043985 -0.173829 -0.531202 -0.263096 
-0.000009 0.009937 0.024612 0.000006 0.052955 0.033193 0.041895 -0.173464 -0.531926 -0.271491 
-0.000007 -0.014406 0.032812 0.000002 0.052167 0.031689 0.039804 -0.173098 -0.532650 -0.279886 
-0.000005 -0.036073 0.038998 -0.000003 0.051103 0.030179 0.037712 -0.172731 -0.533373 -0.288280 
-0.000003 -0.051570 0.042812 -0.000008 0.049769 0.028665 0.035619 -0.172364 -0.534096 -0.296675 
-0.000001 -0.057812 0.044045 -0.000013 0.048172 0.027146 0.033525 -0.171997 -0.534818 -0.305069 
0.000001 -0.051604 0.042638 -0.000017 0.046320 0.025622 0.031430 -0.171629 -0.535540 -0.313463 
0.000003 -0.030104 0.038686 -0.000021 0.044221 0.024093 0.029335 -0.171260 -0.536261 -0.321857 
0.000006 0.004943 0.032429 -0.000024 0.041885 0.022561 0.027238 -0.170891 -0.536982 -0.330250 
0.000008 0.036956 0.024236 -0.000027 0.039322 0.021025 0.025142 -0.170521 -0.537702 -0.338644 
0.000010 0.048349 0.014591 -0.000029 0.036545 0.019485 0.023044 -0.170151 -0.538422 -0.347037 
0.000012 0.041638 0.004068 -0.000030 0.033567 0.017942 0.020946 -0.169780 -0.539141 -0.355430 
0.000014 0.024345 -0.006702 -0.000029 0.030402 0.016396 0.018847 -0.169408 -0.539860 -0.363823 
0.000016 0.002292 -0.017060 -0.000028 0.027066 0.014847 0.016748 -0.169036 -0.540578 -0.372215 
0.000018 -0.020155 -0.026359 -0.000025 0.023574 0.013295 0.014649 -0.168664 -0.541296 -0.380608 
0.000020 -0.039089 -0.034005 -0.000022 0.019945 0.011742 0.012549 -0.168291 -0.542013 -0.389000 
0.000023 -0.050186 -0.039496 -0.000017 0.016198 0.010186 0.010449 -0.167917 -0.542730 -0.397392 
0.000025 -0.047999 -0.042462 -0.000011 0.012354 0.008628 0.008349 -0.167543 -0.543446 -0.405783 
0.000027 -0.026886 -0.042692 -0.000005 0.008434 0.007069 0.006248 -0.167169 -0.544162 -0.414174 
0.000029 0.009766 -0.040158 0.000003 0.004461 0.005509 0.004147 -0.166794 -0.544877 -0.422565 
0.000031 0.040547 -0.035016 0.000011 0.000459 0.003948 0.002047 -0.166418 -0.545592 -0.430956 
0.000033 0.053999 -0.027601 0.000020 -0.003545 0.002386 -0.000054 -0.166042 -0.546306 -0.439347 
0.000035 0.052165 -0.018399 0.000029 -0.007525 0.000824 -0.002155 -0.165665 -0.547020 -0.447737 
0.000037 0.039430 -0.008012 0.000038 -0.011453 -0.000739 -0.004256 -0.165288 -0.547733 -0.456127 
0.000039 0.019718 0.002889 0.000047 -0.015301 -0.002301 -0.006357 -0.164910 -0.548446 -0.464517 
0.000041 -0.003369 0.013609 0.000056 -0.019038 -0.003863 -0.008457 -0.164532 -0.549158 -0.472906 
0.000044 -0.025811 0.023481 0.000065 -0.022634 -0.005424 -0.010557 -0.164153 -0.549870 -0.481295 
0.000046 -0.042059 0.031904 0.000073 -0.026059 -0.006985 -0.012657 -0.163774 -0.550581 -0.489684 
0.000048 -0.043745 0.038375 0.000080 -0.029282 -0.008544 -0.014757 -0.163394 -0.551292 -0.498072 
0.000050 -0.022492 0.042522 0.000087 -0.032272 -0.010101 -0.016857 -0.163013 -0.552002 -0.506461 
0.000052 0.012856 0.044111 0.000093 -0.035000 -0.011657 -0.018956 -0.162633 -0.552712 -0.514848 
0.000054 0.041976 0.043064 0.000098 -0.037438 -0.013210 -0.021054 -0.162251 -0.553421 -0.523236 
0.000056 0.057708 0.039451 0.000101 -0.039559 -0.014762 -0.023152 -0.161869 -0.554129 -0.531623 
0.000058 0.060383 0.033489 0.000104 -0.041338 -0.016310 -0.025250 -0.161487 -0.554838 -0.540010 
0.000060 0.051964 0.025530 0.000106 -0.042753 -0.017856 -0.027346 -0.161104 -0.555545 -0.548396 
0.000062 0.034673 0.016043 0.000107 -0.043787 -0.019399 -0.029442 -0.160720 -0.556252 -0.556783 
0.000065 0.011112 0.005591 0.000106 -0.044424 -0.020938 -0.031538 -0.160336 -0.556959 -0.565168 
0.000067 -0.014876 -0.005197 0.000105 -0.044654 -0.022473 -0.033632 -0.159952 -0.557665 -0.573554 
0.000069 -0.036302 -0.015662 0.000103 -0.044471 -0.024004 -0.035726 -0.159567 -0.558371 -0.581939 
0.000071 -0.040832 -0.025149 0.000100 -0.043873 -0.025531 -0.037819 -0.159181 -0.559076 -0.590324 
0.000073 -0.019995 -0.033051 0.000096 -0.042866 -0.027053 -0.039911 -0.158795 -0.559780 -0.598708 
0.000075 0.011771 -0.038850 0.000092 -0.041457 -0.028571 -0.042002 -0.158409 -0.560484 -0.607092 
0.000077 0.039296 -0.042157 0.000087 -0.039659 -0.030083 -0.044092 -0.158022 -0.561188 -0.615476 
0.000079 0.057094 -0.042740 0.000082 -0.037492 -0.031589 -0.046181 -0.157634 -0.561891 -0.623859 
0.000081 0.063888 -0.040550 0.000077 -0.034978 -0.033090 -0.048269 -0.157246 -0.562594 -0.632242 
0.000083 0.059698 -0.035724 0.000072 -0.032142 -0.034585 -0.050355 -0.156858 -0.563295 -0.640624 
0.000085 0.045061 -0.028577 0.000067 -0.029014 -0.036074 -0.052440 -0.156469 -0.563997 -0.649006 
0.000087 0.021262 -0.019579 0.000063 -0.025625 -0.037556 -0.054524 -0.156079 -0.564698 -0.657388 
0.000089 -0.008292 -0.009318 0.000059 -0.022011 -0.039031 -0.056607 -0.155689 -0.565398 -0.665769 
0.000091 -0.034431 0.001540 0.000056 -0.018205 -0.040499 -0.058688 -0.155299 -0.566098 -0.674150 
0.000093 -0.040255 0.012308 0.000053 -0.014244 -0.041959 -0.060768 -0.154908 -0.566798 -0.682531 
0.000095 -0.022130 0.022314 0.000052 -0.010163 -0.043412 -0.062846 -0.154516 -0.567496 -0.690911 
0.000097 0.005193 0.030949 0.000052 -0.005999 -0.044856 -0.064923 -0.154124 -0.568195 -0.699290 
0.000099 0.031112 0.037699 0.000053 -0.001787 -0.046293 -0.066998 -0.153732 -0.568893 -0.707669 
0.000101 0.050661 0.042174 0.000055 0.002441 -0.047720 -0.069071 -0.153339 -0.569590 -0.716048 
0.000103 0.061320 0.044119 0.000059 0.006650 -0.049139 -0.071143 -0.152945 -0.570287 -0.724426 
0.000105 0.061456 0.043433 0.000063 0.010811 -0.050549 -0.073213 -0.152551 -0.570983 -0.732804 
0.000107 0.049829 0.040162 0.000069 0.014894 -0.051949 -0.075281 -0.152157 -0.571679 -0.741181 
0.000109 0.026011 0.034503 0.000075 0.018873 -0.053340 -0.077347 -0.151762 -0.572374 -0.749558 
0.000111 -0.007054 0.026787 0.000083 0.022723 -0.054720 -0.079412 -0.151366 -0.573068 -0.757935 
0.000113 -0.036265 0.017468 0.000091 0.026420 -0.056091 -0.081474 -0.150970 -0.573762 -0.766311 
0.000115 -0.042841 0.007098 0.000100 0.029944 -0.057450 -0.083534 -0.150574 -0.574456 -0.774686 
0.000117 -0.029154 -0.003698 0.000109 0.033276 -0.058799 -0.085593 -0.150177 -0.575149 -0.783061 
0.000119 -0.006400 -0.014258 0.000118 0.036399 -0.060137 -0.087649 -0.149780 -0.575842 -0.791436 
0.000120 0.017800 -0.023923 0.000127 0.039298 -0.061464 -0.089703 -0.149382 -0.576534 -0.799810 
0.000122 0.038782 -0.032072 0.000136 0.041960 -0.062778 -0.091754 -0.148984 -0.577225 -0.808183 
0.000124 0.053157 -0.038173 0.000145 0.044373 -0.064081 -0.093804 -0.148585 -0.577916 -0.816556 
0.000126 0.057828 -0.041817 0.000153 0.046528 -0.065372 -0.095851 -0.148186 -0.578607 -0.824929 
0.000128 0.049563 -0.042753 0.000161 0.048415 -0.066650 -0.097895 -0.147786 -0.579296 -0.833301 
0.000130 0.025744 -0.040909 0.000168 0.050030 -0.067916 -0.099937 -0.147386 -0.579986 -0.841672 
0.000131 -0.010349 -0.036403 0.000174 0.051365 -0.069168 -0.101977 -0.146985 -0.580675 -0.850043 
0.000133 -0.039902 -0.029531 0.000179 0.052417 -0.070408 -0.104014 -0.146584 -0.581363 -0.858414 
0.000135 -0.048208 -0.020745 0.000182 0.053184 -0.071634 -0.106049 -0.146182 -0.582051 -0.866784 
0.000137 -0.039533 -0.010622 0.000185 0.053664 -0.072846 -0.108081 -0.145780 -0.582738 -0.875153 
